state,action,reward,next state
"[92.3666000366211, 20.81386375427246, -0.004587001632899046, 0.0013315157745158184, 0.0]",4,"[0.8, 1.2703313088608267e-07, -1.1728137394584338e-09, 0.8000001258603172]","[92.3666000366211, 20.813640594482422, -0.004700412508100271, 2.5406626177216533e-06, 0.0]"
"[92.3666000366211, 20.813640594482422, -0.004700412508100271, 2.5406626177216533e-06, 0.0]",4,"[0.8, 0.0, -1.069176303047925e-11, 0.7999999999893083]","[92.3666000366211, 20.813640594482422, -0.004700412508100271, 0.0, 0.0]"
"[92.3666000366211, 20.813640594482422, -0.004700412508100271, 0.0, 0.0]",4,"[0.8, 1.7509484550032464e-07, -1.217861296254341e-09, 0.8000001738769843]","[92.3666000366211, 20.813640594482422, -0.004700412508100271, 3.501896910006493e-06, 0.0]"
"[92.3666000366211, 20.813640594482422, -0.004700412508100271, 3.501896910006493e-06, 0.0]",4,"[0.8, 5.15127990978037e-08, -1.4167138573384365e-10, 0.8000000513711277]","[92.3666000366211, 20.813640594482422, -0.004700412508100271, 1.030255981956074e-06, 0.0]"
"[92.3666000366211, 20.813640594482422, -0.004700412508100271, 1.030255981956074e-06, 0.0]",4,"[0.8, 1.7166209921086576e-07, -1.1434401869792054e-09, 0.800000170518659]","[92.3666000366211, 20.813640594482422, -0.004700412508100271, 3.433241984217315e-06, 0.0]"
"[92.3666000366211, 20.813640594482422, -0.004700412508100271, 3.433241984217315e-06, 0.0]",4,"[0.8, 0.8486579492974748, -0.00471487045288086, 1.6439430788445941]","[92.45406341552734, 9.722434997558594, -0.00526224123314023, 16.973158985949496, 0.0]"
"[92.45406341552734, 9.722434997558594, -0.00526224123314023, 16.973158985949496, 0.0]",2,"[0.8, 0.8693728973666766, -1.8787384033203124e-05, 1.6693541099826434]","[113.01058197021484, 1.9528757333755493, -0.0047037312760949135, 17.38745794733353, 0.0]"
"[113.01058197021484, 1.9528757333755493, -0.0047037312760949135, 17.38745794733353, 0.0]",2,"[0.8, 0.0005097460450506633, -0.00013166768476366997, 0.8003780783602871]","[134.50914001464844, 1.952467918395996, -0.003994808066636324, 0.010194920901013267, 0.0]"
"[134.50914001464844, 1.952467918395996, -0.003994808066636324, 0.010194920901013267, 0.0]",4,"[0.8, 4.4656160488059475e-08, -8.843707064443152e-09, 0.8000000358124535]","[134.51046752929688, 1.9524718523025513, -0.004700374323874712, 8.931232097611894e-07, 0.0]"
"[134.51046752929688, 1.9524718523025513, -0.004700374323874712, 8.931232097611894e-07, 0.0]",4,"[0.8, 3.4335531478417486e-08, -1.9978049436986111e-10, 0.800000034135751]","[134.51046752929688, 1.9524718523025513, -0.004700374323874712, 6.867106295683497e-07, 0.0]"
"[134.51046752929688, 1.9524718523025513, -0.004700374323874712, 6.867106295683497e-07, 0.0]",4,"[0.8, 2.231972224656515e-08, -3.624088407150339e-10, 0.8000000219573135]","[134.51046752929688, 1.9524718523025513, -0.004700374323874712, 3.434094980592653e-07, 0.0]"
"[134.51046752929688, 1.9524718523025513, -0.004700374323874712, 3.434094980592653e-07, 0.0]",4,"[0.8, 0.7891816545353222, -0.03732433319091797, 1.5518573213444042]","[145.70115661621094, 1.997200846672058, -0.004886646289378405, 15.783633090706443, 0.0]"
"[145.70115661621094, 1.997200846672058, -0.004886646289378405, 15.783633090706443, 0.0]",2,"[0.8, 0.9039727010909178, -5.068648606538773e-05, 1.7039220146048524]","[154.06068420410156, 22.25893211364746, -0.004466876853257418, 18.079454021818353, 0.0]"
"[154.06068420410156, 22.25893211364746, -0.004466876853257418, 18.079454021818353, 0.0]",1,"[0.8, 7.606479305342591e-07, -5.776981879535015e-09, 0.8000007548709487]","[154.03414916992188, 36.7467041015625, -0.004698810633271933, 1.5212958610685181e-05, 0.0]"
"[154.03414916992188, 36.7467041015625, -0.004698810633271933, 1.5212958610685181e-05, 0.0]",5,"[0.8, 0.910681386374916, -0.029934329986572267, 1.6807470563883438]","[154.22178649902344, 49.11977005004883, -0.00476354593411088, 18.21362772749832, 0.0]"
"[154.22178649902344, 49.11977005004883, -0.00476354593411088, 18.21362772749832, 0.0]",1,"[0.8, 1.0728323067920227, -0.07491064071655273, 1.79792166607547]","[173.95388793945312, 59.43709945678711, -0.004746646620333195, 20.10826503890986, 1.0]"
"[173.95388793945312, 59.43709945678711, -0.004746646620333195, 20.10826503890986, 1.0]",1,"[0.8, 1.0582826092394917, -0.025216388702392577, 1.8330662205370991]","[200.8670196533203, 59.48712158203125, -0.00485101668164134, 21.16565218478983, 0.0]"
"[200.8670196533203, 59.48712158203125, -0.00485101668164134, 21.16565218478983, 0.0]",3,"[0.8, 0.9124694648861787, -0.03787221908569336, 1.6745972458004854]","[228.54705810546875, 59.4832649230957, -0.004306812305003405, 18.249389297723575, 0.0]"
"[228.54705810546875, 59.4832649230957, -0.004306812305003405, 18.249389297723575, 0.0]",1,"[0.8, 0.8507975077632944, -0.039410400390625, 1.6113871073726695]","[258.9100341796875, 59.47947692871094, -0.0037462806794792414, 17.015950155265887, 0.0]"
"[258.9100341796875, 59.47947692871094, -0.0037462806794792414, 17.015950155265887, 0.0]",0.0,"[0.8, 1.0741295285453416, -0.019554233551025393, 1.8545752949943162]","[288.35870361328125, 59.47595977783203, -0.00514093367382884, 21.482590570906833, 0.0]"
"[288.35870361328125, 59.47595977783203, -0.00514093367382884, 21.482590570906833, 0.0]",3,"[0.8, 0.0008177607583807994, -0.001497800350189209, 0.7993199604081916]","[313.642333984375, 59.47196960449219, -0.0011688803788274527, 0.016355215167615986, 0.0]"
