state,action,reward,next state
[44],6,"[0.8, 1.2703313088608267e-07, -1.1728137394584338e-09, 0.8000001258603172]",[44]
[44],6,"[0.8, 0.0, -1.069176303047925e-11, 0.7999999999893083]",[44]
[44],6,"[0.8, 1.7509484550032464e-07, -1.217861296254341e-09, 0.8000001738769843]",[44]
[44],6,"[0.8, 5.15127990978037e-08, -1.4167138573384365e-10, 0.8000000513711277]",[44]
[44],6,"[0.8, 1.7166209921086576e-07, -1.1434401869792054e-09, 0.800000170518659]",[44]
[44],6,"[0.8, 0.8486579492974748, -0.00471487045288086, 1.6439430788445941]",[23]
[23],4,"[0.8, 0.8693728973666766, -1.8787384033203124e-05, 1.6693541099826434]",[0]
[0],4,"[0.8, 0.0005097460450506633, -0.00013166768476366997, 0.8003780783602871]",[0]
[0],6,"[0.8, 4.4656160488059475e-08, -8.843707064443152e-09, 0.8000000358124535]",[0]
[0],6,"[0.8, 3.4335531478417486e-08, -1.9978049436986111e-10, 0.800000034135751]",[0]
[0],6,"[0.8, 2.231972224656515e-08, -3.624088407150339e-10, 0.8000000219573135]",[0]
[0],6,"[0.8, 0.7891816545353222, -0.03732433319091797, 1.5518573213444042]",[42]
[42],4,"[0.8, 0.9039727010909178, -5.068648606538773e-05, 1.7039220146048524]",[26]
[26],3,"[0.8, 7.606479305342591e-07, -5.776981879535015e-09, 0.8000007548709487]",[26]
[26],7,"[0.8, 0.910681386374916, -0.029934329986572267, 1.6807470563883438]",[26]
[26],3,"[0.8, 1.0728323067920227, -0.07491064071655273, 1.79792166607547]",[10]
[10],3,"[0.8, 1.0582826092394917, -0.025216388702392577, 1.8330662205370991]",[46]
[46],5,"[0.8, 0.9124694648861787, -0.03787221908569336, 1.6745972458004854]",[46]
[46],3,"[0.8, 0.8507975077632944, -0.039410400390625, 1.6113871073726695]",[37]
[37],0,"[0.8, 1.0741295285453416, -0.019554233551025393, 1.8545752949943162]",[37]
[37],5,"[0.8, 0.0008177607583807994, -0.001497800350189209, 0.7993199604081916]",[41]
[41],6,"[0.8, 3.1482082305750356e-08, -9.37105504306146e-11, 0.8000000313883718]",[41]
[41],6,"[0.8, 1.62639476808229e-08, -8.377190283681557e-09, 0.8000000078867574]",[41]
[41],6,"[0.8, 1.7997145675893553, -0.03141946792602539, 2.56829509966333]",[39]
[39],3,"[0.8, 0.7390166077363935, -0.00020740605890750885, 1.5388092016774861]",[30]
[30],3,"[0.8, 1.3181137854853542, -0.002969646453857422, 2.115144139031497]",[22]
[22],3,"[0.8, 2.1419503497843713, -4.842691123485565e-05, 2.9419019228731367]",[22]
[22],0,"[0.8, -0.2, -5.591101944446564e-06, 0.5999944088980556]",[29]
[29],0,"[0.8, -0.2, -8.053891360759734e-06, 0.5999919461086393]",[38]
[38],5,"[0.8, 1.6405948902807421, -0.005164337158203125, 2.435430553122539]",[38]
[38],4,"[0.8, 0.8282819514746435, -0.032338428497314456, 1.595943522977329]",[1]
[1],2,"[0.8, 1.7201173793091673, -0.02509593963623047, 2.4950214396729367]",[11]
[11],5,"[0.8, 1.5777859042782545, -0.0018459320068359376, 2.3759399722714187]",[11]
